name,salary,years_experience,points,commute_distance,fake_column,error_message,end_column
Erick Barton,81251.87479,2,69.37921637,25.73652328,186.7623344,no error,1
Laila Olson,51760.68072,2,89.71112584,36.30173809,190.0728935,no error,7
Marcelino Turcotte,58892.45783,3,55.46278382,43.03013117,130.7246829,no error,7
Norval Hayes,53608.1896,2,46.09683338,17.52506263,110.5704728,no error,5
Jamil Stehr,80369.29573,2,65.78705158,16.98481998,96.63664955,no error,2
Jake Bode,59317.30347,4,93.47084995,46.86971709,73.49196433,no error,1
Amira Wisoky,35906.5528,0,76.97283721,29.15866106,188.784431,no error,6
Kennith Doyle,57501.10227,4,10.24138899,26.79341396,169.9787977,no error,9
Ollie Hermiston,62717.00767,4,1.853888648,3.602061805,118.9243648,no error,3
Kariane Morar,68561.8463,3,0.501127552,29.01408427,59.41433219,no error,2
Anibal Crona,87587.8193,2,63.56576366,41.61135803,137.1880477,no error,9
Rosalyn Cronin,54329.52016,6,71.1868328,3.23256657,3.36759919,no error,10
Nat Blick,68648.15711,3,34.09889268,23.3822508,150.9641049,no error,4
Elsie Thiel,78037.42829,4,37.74761348,32.58616168,34.357897,no error,8
Quinten Carter,58026.93228,4,89.54012082,10.03508176,199.6562132,no error,7
Elissa Thiel,64099.83816,4,0.404093483,41.69333803,1.463200438,no error,0
Keshawn Becker,45661.09005,1,18.3950882,42.23551079,22.12078385,no error,0
Melvin Stoltenberg,77260.23674,3,17.73824042,3.378258277,79.28514179,no error,6
Luther Langworth,44352.41623,1,29.13895394,37.39527258,23.30774236,no error,10
Kassandra Rowe,47835.36594,7,18.63239241,9.611838913,8.650292283,no error,8
Amya Prohaska,79681.69602,3,9.077917772,11.7332125,0.430786752,no error,7
Corbin Reichert,58791.88399,2,48.19995861,45.74426259,179.9049833,no error,9
Drake Davis,41437.13285,3,72.16790651,26.83346522,52.04722985,no error,3
Retta Vandervort,25697.64814,6,83.75229177,28.86152084,32.24391531,no error,0
Willie Hammes,75297.68244,4,46.11746327,21.49604477,109.7089739,no error,1
Lincoln Volkman,88191.17707,3,91.28960012,5.043349782,177.0039395,no error,3
Mauricio Stark,54440.53805,3,78.21544213,47.67069264,96.1534909,no error,0
Vergie Nolan,27332.90541,3,57.45997691,7.197170012,164.4734591,no error,5
Remington Okuneva,36070.05974,3,10.04172568,15.35158372,55.85969193,no error,5
Margarette Purdy,44589.30277,3,68.02171291,15.89320257,136.2529139,no error,5
Payton Osinski,48301.25693,3,34.67881756,1.028764976,29.98446416,no error,6
Pietro Lockman,41706.0494,2,23.22320343,4.199162785,86.97526205,no error,5
Okey Hirthe,70090.5562,4,20.21766613,3.61784779,57.24453202,no error,0
Reggie Metz,45469.40733,1,70.57495152,23.82856449,53.5197786,no error,5
Ramon Schultz,40454.35903,4,40.58870082,39.67167146,3.137758041,no error,7
Jerrell Hauck,54918.85661,2,52.0766273,13.42132322,152.606213,no error,2
Tatum Ferry,33372.94711,1,62.10071265,0.205507272,95.10260827,no error,1
Adam Walter,52726.31368,1,87.74868112,24.78395302,100.4850329,no error,5
Burdette Will,30176.27055,6,52.94321265,19.41497421,9.115998357,no error,6
Aleen Murazik,84046.5542,3,72.64432499,38.65946507,20.69088377,no error,4
Favian Pfeffer,48397.36377,4,59.47137554,15.63413431,24.92200459,no error,0
Bria Zemlak,53993.96763,3,59.98203376,42.94736336,97.49700311,no error,5
Gracie Cartwright,27248.80715,4,9.202893494,23.75338717,28.72569395,no error,4
Karlee Satterfield,87164.69818,4,26.75700164,47.44529725,180.914416,no error,8
Hillary Zieme,58795.60186,4,94.72067491,16.54167152,173.3968039,no error,7
Maye Rohan,42366.7855,2,58.29381125,46.46060473,159.8964195,no error,8
Rosalind Roberts,17537.30281,3,74.95186113,19.90765897,182.305491,no error,1
Pete Halvorson,34051.54327,2,25.21136424,37.64601011,196.4440215,no error,2
Kale Olson,62169.61976,1,9.005097668,40.109776,50.9916984,no error,3
Milton Ryan,83831.96216,6,2.343649473,37.37962137,38.15422455,no error,3
Bernard Hegmann,70119.86804,6,19.74846911,43.9468696,186.9385939,no error,4
Cameron Graham,98751.83262,2,12.16876766,33.22937743,161.3638201,no error,4
Bethel Ernser,63630.22932,3,30.92134467,32.74013984,171.5129999,no error,1
Humberto Runolfsson,26078.1265,1,97.01124312,24.6392919,154.5204867,no error,0
Owen Green,61779.18701,2,74.50275138,46.4053934,95.60738576,no error,4
Elwin Wyman,30804.86161,5,41.76854259,9.515662781,14.5868452,no error,0
Orval Heller,40301.48541,5,71.62062411,30.1030709,113.093948,no error,8
Deangelo Swaniawski,55705.72344,3,36.75198587,22.98698377,46.87246767,no error,0
Ulises Ebert,55675.29305,7,17.60880366,43.72203331,55.67937429,no error,0
Rylee McGlynn,65108.98704,2,42.09776874,9.360000445,61.18180273,no error,6
Peggie Harris,88367.27449,5,63.44105967,37.81733336,20.83188832,no error,8
Alf Langosh,56285.16079,3,41.81867394,12.87507148,74.93396327,no error,10
Sandra Cormier,49431.5838,4,99.59889479,40.32857439,193.5094455,no error,6
Kallie Frami,47771.91159,6,78.05876427,43.22214528,11.85512412,no error,6
Marcelino Bogisich,71339.26595,3,42.7490249,23.55961225,89.91304277,no error,7
Faye Gulgowski,22869.01895,4,22.68879333,45.80454182,11.43977409,no error,9
Amara Glover,80640.93033,1,86.68578965,11.70551042,77.79443186,no error,0
Nora Koss,95791.59081,2,37.78279756,22.99713248,49.13324314,no error,4
Oma Marks,39960.11942,2,90.7420843,22.03189513,53.47931531,no error,3
Dorothy Herman,84860.42955,4,78.19409199,12.56017257,22.98702419,no error,9
Bill Watsica,49783.73573,3,46.08531737,6.765178688,50.74651187,no error,4
Rashad Wisozk,57500.54469,3,58.50890396,15.88001387,199.2064938,no error,4
Moises Cummings,53260.84841,3,75.03821406,31.23854676,180.9155588,no error,9
Lessie Mante,61254.293,1,27.0258967,37.78311248,137.5013829,no error,2
Golden Grady,45821.91774,3,87.24921562,3.056950883,173.4261273,no error,3
Andy Miller,80148.51379,3,18.56897392,32.78653798,32.84105108,no error,0
Jeanne Schaefer,76916.90208,7,92.19666146,40.66332056,184.3263443,no error,4
Marquis Gutkowski,40619.22946,1,50.82354402,22.08945853,159.0741708,no error,3
Herminia Homenick,73490.01514,1,36.93075464,14.1062527,152.3860934,no error,8
Estell Kozey,82632.15014,4,27.44207171,1.938098754,129.8049621,no error,2
Jarrod Roberts,27002.25321,0,75.07997492,18.73580621,152.1675425,no error,0
Leon Feest,67694.6783,2,81.54533539,6.734676391,15.89168641,no error,2
Hunter Greenfelder,58495.72952,5,84.9998875,6.48219581,193.9108165,no error,3
Damion Johnson,68603.26321,4,21.17452787,15.87533046,49.75179188,no error,8
Gilberto Lind,49827.13816,5,41.16783403,1.46492779,19.36279113,no error,5
Darrick Haley,56464.38891,2,77.05878556,48.19826109,149.166885,no error,3
Mckenzie Pagac,91829.1532,2,59.85902277,39.39387456,162.1562757,no error,3
Tillman O'Reilly,70129.68526,0,84.41586817,34.98638362,82.6461536,no error,6
Russel Kilback,37603.59596,0,9.998004384,8.117781957,34.40048524,no error,5
Nannie Daniel,28458.25727,3,84.5575881,36.39263831,137.5767444,no error,6
Florencio Bergnaum,52042.06077,6,53.12993973,5.827960777,55.10416677,no error,6
Kayden Morar,69155.97081,2,27.80917387,34.75198123,50.53986165,no error,10
Verlie Anderson,39129.13817,2,12.59854333,31.14927018,61.35990547,no error,7
Connor Cormier,76360.81153,3,48.70545844,43.99566806,150.390052,no error,4
Nathan Johnston,73896.88529,5,30.07040016,41.53084622,21.12071902,no error,4
Destini Grimes,84657.58384,4,22.45160268,28.62556452,4.295087456,no error,5
Emie Jacobi,47793.93011,3,87.61400996,26.62640916,83.96590958,no error,6
Richmond Weimann,47701.85902,7,14.69481334,26.88035955,193.4062367,no error,3
Vernon Becker,36847.43896,2,65.13206719,36.18181359,74.6607816,no error,10
Jeffry Lubowitz,92054.79165,5,22.15104962,1.951802325,31.75943958,no error,8
Aurelia Shanahan,71259.17696,8,93.36171663,14.04963514,166.0866274,no error,1
Bobbie Hansen,31512.32906,1,64.25651188,9.059334365,21.50250127,no error,8
Kaya Bartoletti,56551.222,1,79.78137357,34.73564422,190.7000117,no error,6
Jaqueline Grimes,54330.80948,0,10.51242527,18.92171528,116.9754041,no error,7
Kade Cremin,52578.42065,1,5.540211145,1.639235169,35.35986851,no error,7
Rusty Emmerich,43104.03885,5,25.61166425,28.6151951,40.47950643,no error,5
Jadyn Mills,41316.05916,5,4.754466241,9.353214746,191.5338679,no error,8
Celia Bins,18061.27094,7,44.38751711,14.06708367,157.1037889,no error,10
Kaylie Runolfsdottir,54908.85859,3,8.01399397,8.11151227,153.1055582,no error,7
Theresa Collins,35888.78869,2,3.688841418,35.58933966,49.56748933,no error,9
Alexane Haley,54042.79977,1,77.5010942,14.99136883,53.94847953,no error,7
Abbey Ziemann,42864.50232,2,84.88307617,16.07907418,75.1949173,no error,1
Brandy Kassulke,48697.63207,4,70.06465925,44.24173406,166.3639726,no error,1
Francis Robel,70109.20456,7,9.68359157,40.73568685,181.3199052,no error,9
Aracely Powlowski,52086.28875,5,47.47721816,36.95403791,53.29638738,no error,10
Ebba Eichmann,34531.86323,1,28.14004303,9.352325251,25.3529295,no error,9
Mylene Veum,27433.4058,3,45.14463308,44.7117837,58.88695995,no error,1
Tobin McKenzie,70505.36306,2,95.88823192,16.50908444,118.3048285,no error,2
Maryse Reynolds,38528.80558,4,50.76251917,32.72540583,36.68033208,no error,10
Dedric O'Hara,49379.69278,2,37.1250437,42.75989091,83.17146977,no error,10
Brianne O'Keefe,47317.68031,2,41.9868518,3.503547596,86.41376605,no error,2
Geovanni Rolfson,57487.7878,1,98.8186216,42.92292802,57.0212646,no error,5
Monroe Abbott,50915.27092,6,74.42852526,31.11565188,19.08438008,no error,5
Quinn Yundt,54822.64848,3,59.47522643,20.74600404,13.82283287,no error,6
Karen Stamm,36016.07227,2,39.96375646,17.31262985,129.7089799,no error,3
Erich Shanahan,51157.03704,1,98.93389984,0.945255676,52.21043922,no error,4
Lavinia Schmitt,57138.89981,6,36.59722426,39.38400823,148.8422324,no error,5
Elisabeth Cronin,61660.65552,1,68.09716392,1.662167845,159.8487371,no error,4
Michael Rippin,96117.92154,2,81.69339157,32.67273838,39.73259124,no error,1
Braeden Doyle,25123.31365,4,29.01612468,7.062406674,139.8422262,no error,6
Beverly Corwin,48528.18563,4,35.60763743,32.29408536,156.4068792,no error,2
Burnice Collier,48187.94358,2,28.58488251,15.51676229,186.6018717,no error,1
Leilani Langworth,63123.12286,4,23.07373794,27.12496432,174.4643801,no error,5
Benedict Spinka,59016.55707,1,88.56050624,31.05451382,109.7155663,no error,0
Brayan Reinger,70533.63942,4,84.16331154,37.28014678,146.3306135,no error,10
Rodrigo Schulist,76732.86326,2,19.9659514,12.52755118,31.52649642,no error,6
Mayra Gleason,72661.57774,4,85.97392888,2.388358004,114.8096636,no error,7
Effie Gutmann,38765.16451,5,81.22522969,29.71600635,157.7845384,no error,8
Allene Grant,75676.73053,7,14.41958208,35.80445203,188.1296354,no error,0
Melyna Nolan,40303.92679,4,53.08766066,8.917427536,69.50324989,no error,4
Ashleigh Kuvalis,64906.42396,0,99.64500902,13.19978699,143.7011141,no error,1
Lourdes Wisozk,29157.2426,1,47.85331783,34.13672762,86.31026114,no error,10
Raquel Abbott,85302.70902,2,89.74379049,44.09059446,40.60791266,no error,1
Miller Upton,48400.86365,5,85.35617657,48.28651526,167.040374,no error,5
Zachariah Bechtelar,44167.91828,6,44.37525319,6.067541049,2.671775358,no error,7
Stanley Wilderman,15211.94698,3,34.82486917,38.19254113,189.645666,no error,8
Johathan Auer,68599.97469,4,68.17847527,5.681124219,31.91205369,no error,7
Buster Hane,39913.32193,3,22.52731956,41.29865995,140.6622542,no error,6
Araceli Haag,61495.29823,1,12.53370929,40.96585793,161.5157143,no error,1
Eladio Stroman,60948.68691,2,94.46960703,42.93370975,184.0779315,no error,7
Dulce Schaden,65141.03964,4,62.9327247,14.43946661,82.61263641,no error,6
Abagail Dare,79467.71138,1,35.29082147,6.705633849,103.9182246,no error,2
Viva Schulist,27625.27742,3,76.15449878,7.208927737,76.95641758,no error,9
Shyanne Prohaska,76177.54547,6,45.71257521,2.153080928,12.65134485,no error,4
Monty Schoen,47192.08297,6,39.01338762,10.49640827,177.7735702,no error,0
Alize Greenfelder,64157.90958,2,63.91802047,49.7752631,65.60899457,no error,7
Domenico Boyer,48832.83852,2,49.61219257,29.92842171,195.1690676,no error,0
Virgil Murazik,61650.84307,5,97.44267858,29.55983085,90.59411908,no error,0
Earline Olson,81068.18862,3,42.98718098,41.22109867,196.8322687,no error,3
Ava Pacocha,57458.41119,5,80.35343129,46.42319063,92.69695236,no error,8
Terrill Lebsack,90257.34245,3,60.87791435,44.71392955,189.8196533,no error,1
Gladys Borer,49918.08617,3,60.67354436,42.06670575,179.6151124,no error,0
Maybelle Schiller,55592.12024,5,45.42812855,0.0044014,69.4907625,no error,10
Chad Casper,71869.5335,2,14.12984517,46.42664927,74.22459598,no error,0
Bettye Cummings,49691.49509,4,12.90294506,41.29922143,150.7027225,no error,2
Camren Koepp,50630.76298,2,63.83478622,46.81758015,94.5553272,no error,7
Ibrahim McGlynn,55636.49276,4,40.92248318,23.77186495,143.3731695,no error,7
Sydnie Lowe,63386.25948,2,86.62226128,25.07919654,106.2035422,no error,5
Santina Kirlin,56615.10797,0,63.4160487,41.12408591,67.64062162,no error,10
Amir Rutherford,81668.62419,1,28.12383947,24.58952124,26.00460608,no error,3
Ladarius Macejkovic,96250.3535,4,36.00501848,13.2078228,12.28986678,no error,5
Else Dibbert,25843.7706,3,56.79014387,31.39753724,7.309530095,no error,1
Amira Spencer,64772.99381,5,92.43597716,21.75091517,133.7820546,no error,10
Verda McDermott,37236.90871,2,40.29149378,19.10464911,32.82345767,no error,4
Beverly Pouros,55122.19432,5,88.96505032,26.57431409,157.6683981,no error,6
Hope Block,82766.43996,2,36.36359105,42.99533462,93.69164066,no error,4
Alysson Swaniawski,72941.53624,4,94.37405623,13.73188934,130.5408492,no error,10
Tamara Ritchie,72258.15854,6,20.27938107,3.201608292,39.81051032,no error,3
Maymie Graham,75051.47556,3,20.60143294,6.934923253,0.608857458,no error,5
Emory Kautzer,13567.3147,4,3.280575697,9.830150213,102.3008541,no error,7
Jayde Wisoky,30705.94878,4,85.82474631,17.56280055,150.7290102,no error,2
Liza Streich,53887.99176,5,16.90215399,44.85671949,167.4760837,no error,1
Holden Halvorson,43460.04497,3,16.48080161,18.6366065,102.5512636,no error,2
Zack Hahn,67780.8613,1,44.24503211,15.446264,116.7394437,no error,9
Kaela Mertz,29883.78085,5,42.22287108,47.52713101,125.2536808,no error,0
Laurence Auer,62452.70554,4,27.77371478,30.16369055,56.13294749,no error,0
Wava Romaguera,42299.12975,1,84.51482669,34.30098528,154.0967707,no error,5
Annalise Nienow,37171.92907,6,43.96807804,9.448058346,138.2455437,no error,0
Jamaal Osinski,102777.7049,10,75.95012578,49.6742795,49.72283057,no error,0
Favian Cormier,62214.02936,2,33.20205217,36.78747385,175.4218421,no error,9
Emmanuelle Wisozk,83038.30619,2,98.35906789,0.083282853,179.7653383,no error,4
Palma Gleichner,63037.04168,1,50.19974415,47.39638912,141.0956226,no error,6
Allan Huels,52675.11116,1,84.21655723,15.62843391,186.6965144,no error,2
Ressie Denesik,65460.79173,5,93.40103412,32.54840144,53.69266769,no error,3
Frances Connelly,53491.69929,0,1.129857248,29.74530405,96.75789996,no error,4
Verner Bechtelar,50767.29365,4,62.94653457,31.8730174,198.2010802,no error,1
Arno Torp,55446.24608,5,1.129158526,31.40308576,41.42855063,no error,5
Dovie Auer,83561.569,6,33.23293661,21.19500649,64.49405002,no error,7
Dawson Schuppe,31254.08486,3,57.71532614,17.53552996,76.22828881,no error,2
Akeem Pfannerstill,26974.33793,2,73.38805607,10.14248549,57.67563024,no error,7
Brisa Rath,39760.05414,3,38.22368015,8.29405021,90.20044458,no error,7
Riley Murray,67657.08572,2,93.38479455,22.23282256,151.0459094,no error,4
Kelli Zemlak,62647.15574,3,8.490340225,2.025574833,179.743007,no error,5
Sammy Turner,22376.60157,4,79.19574633,30.83594859,102.0407066,no error,8
Bettie Witting,43079.36347,3,93.68090581,6.72529219,188.4041819,no error,9
Breana Gottlieb,41255.66785,0,42.45605618,2.480284419,94.17242908,no error,4
Claire O'Hara,44957.412,1,37.25040238,6.61433583,138.3357736,no error,2
Margaret Bartell,73767.42866,3,46.43396246,8.523352143,56.53220732,no error,10
Donato Mueller,35177.46452,1,76.60192192,29.25852942,189.3872994,no error,4
Roger Will,23244.999,7,33.71705256,39.80135995,175.2941348,no error,5
Turner Stamm,58009.56437,0,47.02345104,46.89100883,139.705025,no error,2
Simone Bogisich,59746.1698,8,76.25882712,3.430477052,196.6380022,no error,3
Helena Kunde,57660.43197,2,25.31244797,33.81344874,105.9731492,no error,4
Salma Parisian,34893.45338,4,35.91566236,1.291627198,15.46952416,no error,3
Abdul Crooks,38581.77915,3,96.41059058,44.75876875,129.8028376,no error,6
Brady Prosacco,69281.32453,1,73.73130321,0.065182705,175.030765,no error,8
Lance Crooks,66157.19632,4,83.193669,47.58231232,146.388205,no error,0
Emie Hansen,75140.57114,2,25.72592575,24.27618187,34.16383456,no error,6
Torrance Marquardt,49592.07501,3,19.09699075,48.9077336,151.5056365,no error,1
Myrna Barton,53852.44039,4,78.698051,25.2190861,160.186304,no error,7
Morris Thiel,40272.18412,3,45.35020153,38.82659008,27.89757067,no error,5
Christ Cummings,50584.78174,1,96.48713386,49.01699298,153.6276191,no error,3
